date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion
2020/1/2,sz.399001,-1.750534641,-1.756221752,-1.719231853,-1.720256398,-1.764988936,-0.198851891,-0.917615639,1.291705336,0.61164929
2020/1/3,sz.399001,-1.761524876,-1.758014574,-1.722944919,-1.7307431,-1.772748738,-0.415769121,-1.059148176,0.055025213,-0.183782964
2020/1/6,sz.399001,-1.758813724,-1.750076454,-1.715284116,-1.730270841,-1.768308565,0.328626475,-0.554885276,0.208896198,-0.182830286
2020/1/7,sz.399001,-1.733158982,-1.728095918,-1.690857717,-1.710813609,-1.744246516,0.04271279,-0.769530255,0.769632492,0.334567988
2020/1/8,sz.399001,-1.694264139,-1.697827716,-1.656448197,-1.680409952,-1.708736577,0.588649037,-0.556021003,-0.819385673,0.354093744
2020/1/9,sz.399001,-1.652178847,-1.664554939,-1.620064262,-1.648139321,-1.668716317,-0.160941861,-0.83874237,1.151115152,-0.191945308
2020/1/10,sz.399001,-1.610565452,-1.632606537,-1.582370346,-1.615029555,-1.630722622,-0.626070404,-1.109986914,-0.170355645,-0.512875247
2020/1/13,sz.399001,-1.574285645,-1.606197977,-1.544392455,-1.583363798,-1.60295099,-0.74452115,-1.028505956,0.939676904,-0.239194971
2020/1/14,sz.399001,-1.548266415,-1.588019246,-1.514927708,-1.559458963,-1.583601799,-0.380340731,-0.872380818,-0.371630152,-0.655449201
2020/1/15,sz.399001,-1.538164258,-1.583219545,-1.500552452,-1.547120078,-1.574186877,-0.90418773,-1.262712342,-0.15789619,0.42266006
2020/1/16,sz.399001,-1.537551264,-1.58089739,-1.501731035,-1.546701875,-1.566092631,-1.055035445,-1.279172915,-0.086765556,0.846702881
2020/1/17,sz.399001,-1.549674528,-1.579996583,-1.534034926,-1.573623322,-1.549579802,-1.204556866,-1.359981404,-0.13711173,-0.671496629
2020/1/20,sz.399001,-1.571160361,-1.580932589,-1.580097408,-1.609444211,-1.538759113,-0.911099137,-1.03975115,0.939913506,0.037242731
2020/1/21,sz.399001,-1.561779441,-1.544110369,-1.572404791,-1.584813793,-1.5373072,-0.82108686,-1.067718434,-1.044750307,-0.685932702
2020/1/22,sz.399001,-1.635591628,-1.593544817,-1.620822275,-1.610583234,-1.573618516,-0.667005219,-0.878881362,0.675534576,-0.165861244
2020/1/23,sz.399001,-1.791873338,-1.733821251,-1.899747322,-1.870747288,-1.671748213,-0.089262835,-0.49021607,-2.438776081,0.49319204
2020/2/3,sz.399001,-2.185353837,-2.133553694,-2.163043588,-2.107983116,-1.789083875,-2.448308693,-2.127217466,-5.766502977,-0.656448523
2020/2/4,sz.399001,-2.149493736,-2.038400164,-2.132020363,-2.014445506,-1.990845225,1.146479037,-0.083080266,2.086122481,0.326488097
2020/2/5,sz.399001,-2.028446659,-1.875990221,-1.99895417,-1.838697072,-2.022655343,0.499548873,-0.179744104,1.38937594,0.924725713
2020/2/6,sz.399001,-1.955907509,-1.861985995,-1.938044654,-1.826788618,-1.960047694,0.800195943,0.057533229,1.88394145,-0.397283507
2020/2/7,sz.399001,-1.874129765,-1.855227261,-1.873582391,-1.833226502,-1.83250203,0.896972611,0.149773708,0.008405181,0.835199441
2020/2/10,sz.399001,-1.787565741,-1.774469482,-1.770333518,-1.751454308,-1.764186352,0.68399059,-0.021534309,0.688065011,0.94524187
2020/2/11,sz.399001,-1.710094222,-1.686346963,-1.672014099,-1.658586343,-1.711891103,0.0804172,-0.478851325,0.196406999,0.29881988
2020/2/12,sz.399001,-1.63220498,-1.624198515,-1.599257689,-1.598096244,-1.642198203,0.106874847,-0.408047698,1.02409848,1.133582727
2020/2/13,sz.399001,-1.564231389,-1.570082382,-1.542450894,-1.545828845,-1.578179225,0.50658325,-0.07898567,-0.52920159,-0.39557946
2020/2/14,sz.399001,-1.521106777,-1.523109378,-1.503648654,-1.498273207,-1.531695503,0.072208671,-0.315792274,0.26679538,-0.618168672
2020/2/17,sz.399001,-1.480551913,-1.470485249,-1.462581215,-1.444883353,-1.48547173,0.800258825,0.172099715,1.957071032,0.328464346
2020/2/18,sz.399001,-1.41845899,-1.390741576,-1.392229884,-1.364677266,-1.422566068,1.334465919,0.58125293,0.334104556,-0.029902294
2020/2/19,sz.399001,-1.353479751,-1.305887783,-1.316133573,-1.281104129,-1.358458714,1.444455558,0.824358337,-0.480544753,0.989271369
