date,code,open,high,low,close,preclose,volume,amount,pctChg
2020-01-02,sz.399001,10509.1240,10663.5540,10479.7730,10638.8240,10430.7660,39325746944,424347406336.0000,1.994657
2020-01-03,sz.399001,10666.6550,10689.5910,10594.3570,10656.4060,10638.8240,37418270208,405405339648.0000,0.165263
2020-01-06,sz.399001,10599.4110,10799.5790,10577.7820,10698.2730,10656.4060,43964164608,472892674048.0000,0.392881
2020-01-07,sz.399001,10725.1770,10829.0450,10723.8570,10829.0450,10698.2730,41449962752,444165763072.0000,1.222366
2020-01-08,sz.399001,10776.7070,10851.2810,10681.0240,10706.8680,10829.0450,46250691072,472740642816.0000,-1.128234
2020-01-09,sz.399001,10807.0370,10899.4820,10807.0370,10898.1660,10706.8680,39659111424,434903322624.0000,1.786685
2020-01-10,sz.399001,10927.9810,10933.8050,10833.5190,10879.8420,10898.1660,35568971264,398600765440.0000,-0.168138
2020-01-13,sz.399001,10893.9950,11040.2010,10851.7190,11040.2010,10879.8420,34527366400,409505554432.0000,1.473909
2020-01-14,sz.399001,11074.8860,11086.8080,10983.4150,10988.7670,11040.2010,37729812224,430400618496.0000,-0.465879
2020-01-15,sz.399001,10978.2810,11001.8050,10882.7870,10972.3160,10988.7670,33123327232,378160533504.0000,-0.149707
2020-01-16,sz.399001,10986.6480,11008.2080,10934.7240,10967.4350,10972.3160,31796837376,375957684224.0000,-0.044485
2020-01-17,sz.399001,11001.6770,11045.2500,10927.8400,10954.3880,10967.4350,30482010368,365143216128.0000,-0.118961
2020-01-20,sz.399001,10981.5040,11115.8840,10936.8030,11115.8840,10954.3880,33062551296,408001032192.0000,1.474259
2020-01-21,sz.399001,11077.6570,11078.0390,10948.5760,10953.4130,11115.8840,33854080512,404258430976.0000,-1.461611
2020-01-22,sz.399001,10896.5540,11105.6900,10761.6760,11072.0570,10953.4130,35209008128,429531267072.0000,1.083169
2020-01-23,sz.399001,10947.8570,11025.9950,10572.2650,10681.9040,11072.0570,40289425920,481547538432.0000,-3.523763
2020-02-03,sz.399001,9706.5790,9934.3490,9706.5790,9779.6680,10681.9040,19544992256,262459731968.0000,-8.446397
2020-02-04,sz.399001,9578.8660,10095.6900,9578.8660,10089.6660,9779.6680,51156007936,536037347328.0000,3.169821
2020-02-05,sz.399001,10159.5520,10445.0930,10148.2430,10305.4980,10089.6660,45467182592,523099590656.0000,2.139139
2020-02-06,sz.399001,10306.1150,10633.1650,10214.8110,10601.3420,10305.4980,48110943488,554856050688.0000,2.870739
2020-02-07,sz.399001,10569.6520,10629.1490,10441.9030,10611.5510,10601.3420,48961955840,567200989184.0000,0.096299
2020-02-10,sz.399001,10577.5570,10730.0530,10551.5380,10728.4590,10611.5510,47089083648,544274325504.0000,1.101705
2020-02-11,sz.399001,10749.9730,10839.1850,10678.1060,10768.6270,10728.4590,41781519104,483068698624.0000,0.374406
2020-02-12,sz.399001,10735.0470,10944.6290,10724.0840,10940.7950,10768.6270,42014176256,492545458176.0000,1.598792
2020-02-13,sz.399001,10936.5010,10988.2310,10820.9170,10864.3220,10940.7950,45529039872,536585011200.0000,-0.698971
2020-02-14,sz.399001,10854.4550,11017.6450,10822.1330,10916.3110,10864.3220,41709336832,504892465152.0000,0.478530
2020-02-17,sz.399001,10974.9320,11241.4990,10974.9320,11241.4990,10916.3110,48111496448,570188828672.0000,2.978918
2020-02-18,sz.399001,11244.7650,11306.4860,11143.3870,11306.4860,11241.4990,52809083648,624947511296.0000,0.578099
2020-02-19,sz.399001,11300.1610,11387.9920,11229.5510,11235.5950,11306.4860,53776285184,657484296192.0000,-0.626994
2020-02-20,sz.399001,11278.8740,11519.0730,11248.9020,11509.0870,11235.5950,55171062016,654664638464.0000,2.434157
2020-02-21,sz.399001,11506.6730,11727.8880,11493.6320,11629.6980,11509.0870,60039173376,725971468288.0000,1.047963
2020-02-24,sz.399001,11620.6310,11809.7490,11548.4090,11772.3750,11629.6980,62054634752,770457501696.0000,1.226833
2020-02-25,sz.399001,11537.5530,11869.4060,11350.2750,11856.0810,11772.3750,73050583040,902187397120.0000,0.711037
2020-02-26,sz.399001,11677.6280,11770.5080,11453.6860,11497.5530,11856.0810,68651309824,817348521984.0000,-3.024001
2020-02-27,sz.399001,11555.8180,11684.4970,11401.3230,11534.0180,11497.5530,55169482496,654632005632.0000,0.317154
2020-02-28,sz.399001,11150.6590,11338.3490,10962.2420,10980.7740,11534.0180,61089043712,696848228352.0000,-4.796629
2020-03-02,sz.399001,11115.4590,11457.4160,11053.2880,11381.7610,10980.7740,53240554752,632086433792.0000,3.651719
2020-03-03,sz.399001,11597.6630,11734.1770,11378.7630,11484.2110,11381.7610,60166615296,728950349824.0000,0.900124
2020-03-04,sz.399001,11411.5970,11501.7960,11273.2630,11493.0210,11484.2110,51334824704,602117062656.0000,0.076714
2020-03-05,sz.399001,11644.4070,11739.8360,11521.2930,11711.3720,11493.0210,59305420288,689195540480.0000,1.899857
2020-03-06,sz.399001,11555.4580,11690.2000,11541.7810,11582.8150,11711.3720,53885673984,580104347648.0000,-1.097711
2020-03-09,sz.399001,11363.7949,11407.4723,11100.9134,11108.5480,11582.8159,58473479978,648077340380.9210,-4.094582
2020-03-10,sz.399001,11016.9238,11406.3047,10916.9461,11403.4665,11108.5480,58135515476,656502529541.3840,2.654879
2020-03-11,sz.399001,11436.4378,11444.7814,11197.0928,11200.0502,11403.4665,52958021967,594063173445.3080,-1.783811
2020-03-12,sz.399001,11022.4012,11070.4066,10842.3807,10941.0135,11200.0502,46570794670,509406994353.3570,-2.312817
2020-03-13,sz.399001,10382.2213,10956.5086,10380.1711,10831.1250,10939.4658,52900453782,573701912360.6780,-0.990366
2020-03-16,sz.399001,10867.6626,10867.6626,10217.9324,10253.2846,10831.1250,52048261524,587677958038.1830,-5.334999
2020-03-17,sz.399001,10337.9189,10449.3274,9885.8614,10202.7534,10253.2846,44916428758,495073156439.9480,-0.492829
2020-03-18,sz.399001,10294.9555,10479.7831,10029.5687,10029.5687,10202.7534,45258080567,518373879323.7040,-1.697431
2020-03-19,sz.399001,10023.1210,10101.8034,9719.4923,10019.8582,10029.5687,43223774821,491949299374.1940,-0.096819
2020-03-20,sz.399001,10150.7840,10174.5088,9964.2858,10150.1252,10019.8582,38004697447,435458534975.1410,1.300088
2020-03-23,sz.399001,9828.8987,9929.9636,9659.3480,9691.5337,10150.1252,38811461512,418985613298.0880,-4.518087
2020-03-24,sz.399001,9900.2203,9945.9199,9634.9677,9921.6831,9691.5337,39835928443,433528584902.3720,2.374747
2020-03-25,sz.399001,10171.4653,10255.5790,10111.3621,10241.0761,9921.6831,41683938177,458152117849.0720,3.219141
2020-03-26,sz.399001,10161.9422,10281.5724,10112.6202,10155.3593,10241.0761,37299227467,394186890299.4070,-0.836990
2020-03-27,sz.399001,10300.6192,10310.5324,10105.7185,10109.9066,10155.3593,34500987545,380281699833.0270,-0.447574
2020-03-30,sz.399001,9953.0364,9985.3789,9791.0227,9904.9511,10109.9066,35663136928,382440662636.9600,-2.027274
2020-03-31,sz.399001,10008.0257,10047.9784,9925.6798,9962.3047,9904.9511,31534832328,337468972411.7540,0.579040
2020-04-01,sz.399001,9967.1158,10127.0970,9927.9208,9951.8367,9962.3047,33307952567,359216781570.2940,-0.105076
2020-04-02,sz.399001,9910.3773,10179.2045,9896.6464,10179.2045,9951.8367,32820076188,364617023206.5190,2.284682
2020-04-03,sz.399001,10155.5629,10212.9087,10069.6440,10110.1129,10179.2045,32003127097,358276718557.7880,-0.678752
2020-04-07,sz.399001,10312.7148,10441.7414,10296.7194,10428.9132,10110.1129,40185831806,445455425342.4450,3.153281
2020-04-08,sz.399001,10372.7625,10426.4015,10344.4419,10386.5453,10428.9132,39687723477,420856344171.4240,-0.406254
2020-04-09,sz.399001,10453.8559,10485.2968,10401.1705,10463.0463,10386.5453,37741883171,405778525241.5480,0.736539
2020-04-10,sz.399001,10459.6992,10509.0039,10265.8840,10298.4127,10463.0463,39477343661,425685347698.1270,-1.573477
2020-04-13,sz.399001,10225.5297,10295.1687,10173.1226,10223.1633,10298.4127,29803433754,314914999773.0140,-0.730689
2020-04-14,sz.399001,10300.9622,10475.7052,10276.3650,10475.7052,10223.1633,32983875791,365721826479.9840,2.470291
2020-04-15,sz.399001,10468.4629,10528.7349,10404.5092,10417.3744,10475.7052,37919930676,409439234958.2140,-0.556820
2020-04-16,sz.399001,10361.7653,10489.1342,10346.1096,10470.7936,10417.3744,34870380920,372555755332.6900,0.512789
2020-04-17,sz.399001,10562.8976,10624.5417,10507.8024,10527.9907,10470.7936,40149237971,460267368501.4660,0.546254
2020-04-20,sz.399001,10553.5476,10621.4968,10523.5916,10621.4968,10527.9907,34015623714,383529246109.0300,0.888167
2020-04-21,sz.399001,10577.7187,10577.7187,10394.4398,10506.8566,10621.4968,35933329193,400623067994.9690,-1.079322
