date,code,open,high,low,close,preclose,volume,amount,pctChg,emotion
2020/1/2,sh.000001,3066.335,3098.1,3066.335,3085.197,3050.124,29247020800,3.27197E+11,1.149888,0.124325
2020/1/3,sh.000001,3089.022,3093.819,3074.517,3083.785,3085.197,26149666816,2.89992E+11,-0.045767,0.099001169
2020/1/6,sh.000001,3070.908,3107.203,3065.308,3083.408,3083.785,31257584128,3.31183E+11,-0.012225,0.099031499
2020/1/7,sh.000001,3085.488,3105.45,3084.329,3104.801,3083.408,27658311168,2.88159E+11,0.69381,0.115503683
2020/1/8,sh.000001,3094.238,3094.238,3059.131,3066.892,3104.801,29787255296,3.06517E+11,-1.22098,0.116125316
2020/1/9,sh.000001,3082.639,3097.329,3080.131,3094.881,3066.892,24343564800,2.71716E+11,0.912618,0.098741308
2020/1/10,sh.000001,3102.293,3105.224,3081.396,3092.29,3094.881,21044246272,2.41556E+11,-0.083719,0.088524001
2020/1/13,sh.000001,3091.493,3115.569,3075.383,3115.569,3092.29,21062100480,2.58524E+11,0.752808,0.097237041
2020/1/14,sh.000001,3120.666,3127.169,3105.604,3106.82,3115.569,22997377024,2.71542E+11,-0.280815,0.083984936
2020/1/15,sh.000001,3103.174,3107.942,3082.042,3090.037,3106.82,20231302400,2.32913E+11,-0.540199,0.118308232
2020/1/16,sh.000001,3095.734,3096.371,3070.884,3074.081,3090.037,20337547520,2.36843E+11,-0.516369,0.131808299
2020/1/17,sh.000001,3081.464,3091.951,3067.252,3075.495,3074.081,19030429952,2.42273E+11,0.045997,0.083474041
2020/1/20,sh.000001,3082.113,3096.31,3070.48,3095.787,3075.495,21049334016,2.71122E+11,0.659796,0.106037868
2020/1/21,sh.000001,3085.789,3085.789,3051.23,3052.141,3095.787,23483073792,2.86268E+11,-1.409852,0.083014446
2020/1/22,sh.000001,3038.486,3069.252,3006.267,3060.754,3052.141,22385286400,2.78457E+11,0.282195,0.099571735
2020/1/23,sh.000001,3037.952,3045.04,2955.346,2976.528,3060.754,27276323328,3.2749E+11,-2.751806,0.120553728
2020/2/3,sh.000001,2716.697,2766.577,2716.697,2746.605,2976.528,21591210240,2.5702E+11,-7.724537,0.083953121
2020/2/4,sh.000001,2685.269,2786.164,2685.269,2783.287,2746.605,36404620032,3.74068E+11,1.33554,0.115246447
2020/2/5,sh.000001,2792.371,2842.742,2778.864,2818.087,2783.287,30976182272,3.49184E+11,1.25032,0.134292278
2020/2/6,sh.000001,2826.885,2876.587,2807.609,2866.509,2818.087,31639214336,3.58583E+11,1.718258,0.092204045
2020/2/7,sh.000001,2858.932,2875.963,2838.77,2875.963,2866.509,30947964160,3.62384E+11,0.329809,0.131442069
2020/2/10,sh.000001,2860.499,2891.847,2851.05,2890.487,2875.963,29492978432,3.4152E+11,0.505013,0.134945442
2020/2/11,sh.000001,2894.541,2913.815,2882.242,2901.674,2890.487,26916833536,3.02957E+11,0.387028,0.114365586
2020/2/12,sh.000001,2895.556,2926.899,2892.424,2926.899,2901.674,24873342976,2.97534E+11,0.869326,0.140941568
2020/2/13,sh.000001,2927.144,2935.406,2901.242,2906.073,2926.899,27480484352,3.34526E+11,-0.711538,0.092258296
2020/2/14,sh.000001,2899.865,2926.942,2899.573,2917.007,2906.073,25065062656,3.0808E+11,0.376247,0.08517182
2020/2/17,sh.000001,2924.991,2983.637,2924.991,2983.622,2917.007,31319800832,3.67014E+11,2.283676,0.115309364
2020/2/18,sh.000001,2981.409,2990.6,2960.775,2984.971,2983.622,31166591232,3.74999E+11,0.045214,0.103900201
2020/2/19,sh.000001,2979.522,2998.271,2971.821,2975.401,2984.971,31514115072,3.81331E+11,-0.320606,0.13634719
2020/2/20,sh.000001,2981.88,3031.37,2968.445,3030.154,2975.401,34573288192,4.13761E+11,1.840189,0.148212352
2020/2/21,sh.000001,3022.245,3058.898,3020.141,3039.669,3030.154,36455727616,4.45062E+11,0.31401,0.098394267
2020/2/24,sh.000001,3027.892,3042.182,3007.355,3031.233,3039.669,37043004416,4.51601E+11,-0.27753,0.108485982
2020/2/25,sh.000001,2982.069,3016.945,2943.716,3013.05,3031.233,44162276096,5.13129E+11,-0.599855,0.105061766
2020/2/26,sh.000001,2978.419,3028.778,2974.942,2987.928,3013.05,46904955136,4.95341E+11,-0.833773,0.097113434
2020/2/27,sh.000001,2992.491,3009.457,2980.477,2991.328,2987.928,35052365824,3.95956E+11,0.113791,0.085829061
